accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_latency,goodput_per_resource,latency_per_sample,latency_units,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,retransmission_rate,seed,semantic_goodput,target_openout,task
248,248,1.0,0.0,0,0.9953125,0.9997456868489584,0.3875,0.0,0.7598039215686275,0.6418219461697723,0.51,326.4,witt_context_style,0.0,0.6125,0.45,0.60375,386.4,0.0,0,0.3875,0.05,full-open-mild
248,248,1.0,0.0,0,0.9953125,0.9997456868489584,0.3875,0.0,0.7598039215686275,0.5688073394495413,0.51,326.4,fixed_refine_all,0.0,0.6125,0.45,0.68125,436.0,0.0,0,0.3875,0.05,full-open-mild
356,356,1.0,0.0,0,0.6,0.9998982747395834,0.55625,0.0,0.8624031007751938,0.7813871817383671,0.645,412.8,opensemcom_receiver_only,0.0,0.44375,0.45,0.7118749999999999,455.59999999999997,0.0,0,0.55625,0.05,full-open-mild
356,356,1.0,0.0,0,0.6,0.9998881022135416,0.55625,0.0,0.8624031007751938,0.7813871817383671,0.645,412.8,opensemcom_no_channel,0.0,0.44375,0.45,0.7118749999999999,455.59999999999997,0.0,0,0.55625,0.05,full-open-mild
377,376,0.9973474801061007,0.002652519893899204,1,0.6,0.9998881022135416,0.5890625,0.0,0.8752327746741154,0.932308455244235,0.67125,429.6,opensemcom_progressive,0.0,0.4109375,0.45,0.63015625,403.3,0.0,0,0.5875,0.05,full-open-mild
343,342,0.9970845481049563,0.0029154518950437317,1,0.98125,0.9910913592272413,0.5359375,0.013089005235602094,0.8499005964214712,0.9176281191306681,0.6287499999999999,402.4,dino_detector,0.0,0.4640625,0.6,0.5823437499999999,372.7,0.0,0,0.534375,0.05,full-open-mild
353,353,1.0,0.0,0,0.996875,0.999725341796875,0.5515625,0.0,0.8601364522417154,0.7804554499226178,0.64125,410.4,ensemble_detector,0.0,0.4484375,0.6,0.70671875,452.29999999999995,0.0,0,0.5515625,0.05,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.6,0.1,64.0,0.0,0,0.0,0.05,full-open-mild
352,352,1.0,0.0,0,0.9953125,0.9997456868489584,0.55,0.0,0.859375,0.6748466257668713,0.64,409.6,witt_context_style,0.0,0.45,0.6,0.8149999999999998,521.5999999999999,0.0,0,0.55,0.05,full-open-mild
352,352,1.0,0.0,0,0.9953125,0.9997456868489584,0.55,0.0,0.859375,0.5945945945945946,0.64,409.6,fixed_refine_all,0.0,0.45,0.6,0.925,592.0,0.0,0,0.55,0.05,full-open-mild
356,356,1.0,0.0,0,0.6,0.9998982747395834,0.55625,0.0,0.8624031007751938,0.7813871817383671,0.645,412.8,opensemcom_receiver_only,0.0,0.44375,0.6,0.7118749999999999,455.59999999999997,0.0,0,0.55625,0.05,full-open-mild
356,356,1.0,0.0,0,0.6,0.9998881022135416,0.55625,0.0,0.8624031007751938,0.7813871817383671,0.645,412.8,opensemcom_no_channel,0.0,0.44375,0.6,0.7118749999999999,455.59999999999997,0.0,0,0.55625,0.05,full-open-mild
377,376,0.9973474801061007,0.002652519893899204,1,0.6,0.9998881022135416,0.5890625,0.0,0.8752327746741154,0.932308455244235,0.67125,429.6,opensemcom_progressive,0.0,0.4109375,0.6,0.63015625,403.3,0.0,0,0.5875,0.05,full-open-mild
343,342,0.9970845481049563,0.0029154518950437317,1,0.98125,0.9910913592272413,0.5359375,0.013089005235602094,0.8499005964214712,0.9176281191306681,0.6287499999999999,402.4,dino_detector,0.0,0.4640625,0.8,0.5823437499999999,372.7,0.0,0,0.534375,0.05,full-open-mild
353,353,1.0,0.0,0,0.996875,0.999725341796875,0.5515625,0.0,0.8601364522417154,0.7804554499226178,0.64125,410.4,ensemble_detector,0.0,0.4484375,0.8,0.70671875,452.29999999999995,0.0,0,0.5515625,0.05,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.8,0.1,64.0,0.0,0,0.0,0.05,full-open-mild
352,352,1.0,0.0,0,0.9953125,0.9997456868489584,0.55,0.0,0.859375,0.6748466257668713,0.64,409.6,witt_context_style,0.0,0.45,0.8,0.8149999999999998,521.5999999999999,0.0,0,0.55,0.05,full-open-mild
352,352,1.0,0.0,0,0.9953125,0.9997456868489584,0.55,0.0,0.859375,0.5945945945945946,0.64,409.6,fixed_refine_all,0.0,0.45,0.8,0.925,592.0,0.0,0,0.55,0.05,full-open-mild
356,356,1.0,0.0,0,0.6,0.9998982747395834,0.55625,0.0,0.8624031007751938,0.7813871817383671,0.645,412.8,opensemcom_receiver_only,0.0,0.44375,0.8,0.7118749999999999,455.59999999999997,0.0,0,0.55625,0.05,full-open-mild
356,356,1.0,0.0,0,0.6,0.9998881022135416,0.55625,0.0,0.8624031007751938,0.7813871817383671,0.645,412.8,opensemcom_no_channel,0.0,0.44375,0.8,0.7118749999999999,455.59999999999997,0.0,0,0.55625,0.05,full-open-mild
377,376,0.9973474801061007,0.002652519893899204,1,0.6,0.9998881022135416,0.5890625,0.0,0.8752327746741154,0.932308455244235,0.67125,429.6,opensemcom_progressive,0.0,0.4109375,0.8,0.63015625,403.3,0.0,0,0.5875,0.05,full-open-mild
