target_openout,severity,method,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,accepted_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean
0.1,medium,msp,3,0.4133184523809524,0.005617436335766907,0.09453773077324597,0.004859000883152112,0.45647321428571425,409.0,0.9965277777777778,0.9809722900390625,0.04513888888888889
0.1,medium,one_vs_rest,3,0.4270833333333333,0.0025774565588822487,0.03602003585628933,0.010891016314766631,0.44308035714285715,397.0,0.9965277777777778,0.9998609754774305,0.0
0.1,medium,openmax,3,0.4270833333333333,0.0025774565588822487,0.07783901790312785,0.009963486833862846,0.46316964285714285,415.0,0.9965277777777778,0.9978247748480902,0.001736111111111111
0.1,medium,opensemcom,3,0.42782738095238093,0.0012887282794411244,0.041545431262149775,0.014217276052403836,0.44642857142857145,400.0,0.9982638888888888,0.9998609754774305,0.0
0.1,medium,receiver_only,3,0.42485119047619047,0.002808718167883468,0.06913159395151253,0.01727871481539485,0.45647321428571425,409.0,0.9982638888888888,0.9962599012586805,0.00954861111111111
0.1,medium,vim,2,0.07421875,0.0007891816754314119,0.08266742770167428,0.018700122257406786,0.08091517857142858,72.5,0.9947916666666667,0.5344429016113281,0.7018229166666667
0.1,mild,energy,3,0.5875,0.005633673867912502,0.08130134170979268,0.01504871732947588,0.6395833333333333,409.3333333333333,0.9965277777777778,0.9818352593315973,0.04340277777777777
0.1,mild,mahalanobis,3,0.5979166666666667,0.0036084391824351483,0.03031712200477944,0.013878547359415221,0.6166666666666667,394.6666666666667,0.9965277777777778,0.9989454481336807,0.0
0.1,mild,msp,3,0.5880208333333333,0.006505206248331695,0.09457788343805273,0.005722727676713662,0.6494791666666667,415.6666666666667,0.9965277777777778,0.980255126953125,0.04513888888888889
0.1,mild,one_vs_rest,3,0.5979166666666667,0.0036084391824351483,0.024590410988395872,0.008728042168576988,0.6130208333333333,392.3333333333333,0.9965277777777778,0.9997999403211805,0.0
0.1,mild,openmax,3,0.5979166666666667,0.0036084391824351483,0.04090438420494486,0.00738927268494929,0.6234375,399.0,0.9965277777777778,0.9977213541666666,0.006944444444444444
0.1,mild,opensemcom,3,0.5989583333333334,0.001804219591217542,0.028637860879674484,0.011750795821916824,0.6166666666666667,394.6666666666667,0.9982638888888888,0.9997999403211805,0.0
0.1,mild,receiver_only,3,0.5973958333333332,0.0032526031241658163,0.06917405922145259,0.0446148854282284,0.6427083333333333,411.3333333333333,0.9982638888888888,0.9957038031684027,0.008680555555555554
