accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
338,337,0.9970414201183432,0.0029585798816568047,1,0.9732142857142857,0.9904811864648482,0.37723214285714285,0.013089005235602094,0.8557643473844591,dino_detector,0.0,0.6227678571428571,0.45,0.4395089285714286,393.8,0,0.37611607142857145,0.05,full-open
351,350,0.9971509971509972,0.002849002849002849,1,0.9899553571428571,0.9992268880208334,0.39174107142857145,0.0,0.7357578305654825,ensemble_detector,0.0,0.6082589285714286,0.45,0.5309151785714286,475.7,0,0.390625,0.05,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.45,0.1,89.60000000000001,0,0.0,0.05,full-open
303,303,1.0,0.0,0,0.9888392857142857,0.9993184407552084,0.33816964285714285,0.0,0.6266804550155118,witt_context_style,0.0,0.6618303571428571,0.45,0.5396205357142857,483.5,0,0.33816964285714285,0.05,full-open
261,261,1.0,0.0,0,0.9888392857142857,0.9993184407552084,0.29129464285714285,0.0,0.5425067553523176,fixed_refine_all,0.0,0.7087053571428571,0.45,0.5369419642857143,481.1,0,0.29129464285714285,0.05,full-open
342,342,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.38169642857142855,0.0,0.7342206955775011,opensemcom_receiver_only,0.0,0.6183035714285714,0.45,0.5198660714285713,465.79999999999995,0,0.38169642857142855,0.05,full-open
344,344,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.38392857142857145,0.0,0.7350427350427351,opensemcom_no_channel,0.0,0.6160714285714286,0.45,0.5223214285714286,468.0,0,0.38392857142857145,0.05,full-open
390,384,0.9846153846153847,0.015384615384615385,6,0.9709821428571429,0.9991048177083334,0.43526785714285715,0.005208333333333333,0.8540925266903914,opensemcom_progressive,0.016741071428571428,0.5647321428571429,0.45,0.5017857142857143,449.6,0,0.42857142857142855,0.05,full-open
338,337,0.9970414201183432,0.0029585798816568047,1,0.9732142857142857,0.9904811864648482,0.37723214285714285,0.013089005235602094,0.8557643473844591,dino_detector,0.0,0.6227678571428571,0.6,0.4395089285714286,393.8,0,0.37611607142857145,0.05,full-open
385,378,0.9818181818181818,0.01818181818181818,7,0.9899553571428571,0.9992268880208334,0.4296875,0.0,0.7366984993178717,ensemble_detector,0.0,0.5703125,0.6,0.57265625,513.1,0,0.421875,0.05,full-open
