row_type,task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95
OpenSemCom,deepsense-beam,0.05,1.0,opensemcom_progressive,3,0.5521628498727735,0.1568759556417135,0.17752185542948123,0.01929824561403509,0.016918685545601674,0.019145295002012005,0.564885496183206,0.16845859916575504,0.19062885044828565,0.980701754385965,0.016918685545601664,0.019145295002011994,74.0,22.06807649071391,24.972379408725416,0.8656488549618321,0.2593993770765279,0.2935380283581991,0.6461579354161334,0.08828673868261165,0.09990584979478878,0.272264631043257,0.13490805233395992,0.15266283264848537,0.4351145038167939,0.16845859916575504,0.19062885044828565,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.05,1.0,fixed_refine_all,3,0.3027989821882952,0.2765354318619466,0.31292929981089007,0.013513513513513514,0.023406091994174018,0.026486486486486487,0.3104325699745547,0.28657319542597637,0.32428809858256863,0.6531531531531531,0.5660103046431748,0.6405009554296845,40.666666666666664,37.5410886008029,42.48174091431649,0.5656488549618321,0.4298597931389645,0.4864321478738529,0.3787205206117023,0.3280064539788729,0.37117424442124825,0.0,0.0,0.0,0.6895674300254453,0.2865731954259763,0.3242880985825686,0.9109414758269719,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.1,1.0,opensemcom_progressive,3,0.8447837150127228,0.024538551554689432,0.02776798511742197,0.06746218008434494,0.014845615712749151,0.016799395646961264,0.905852417302799,0.019210774644454805,0.021739037988141748,0.932537819915655,0.014845615712749116,0.016799395646961222,118.66666666666667,2.516611478423583,2.8478139764465733,0.9687022900763359,0.030496159321279748,0.03450965295504553,0.8724626576358826,0.03028870177274637,0.03427489263892285,0.058524173027989825,0.049667229760669555,0.056203761405562096,0.09414758269720103,0.01921077464445483,0.021739037988141776,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.1,1.0,dino_detector,3,0.8218829516539441,0.03442175383834271,0.038951881335310544,0.06847407476580562,0.0198935114010541,0.02251162735854993,0.8829516539440204,0.051960757904992674,0.05879913282493921,0.9315259252341944,0.019893511401054102,0.022511627358549932,115.66666666666667,6.8068592855540455,7.7026864000670425,0.8946564885496183,0.046764682114493465,0.052919219542445356,0.9190434848933098,0.014294851877289608,0.016176147695582805,0.0,0.0,0.0,0.11704834605597965,0.05196075790499271,0.05879913282493925,0.9033078880407125,0.015890580148596397,0.017981884223688047
OpenSemCom,full-open,0.01,0.6,opensemcom_progressive,3,0.3958333333333333,0.018350241748718046,0.020765253346101464,0.0018266074145247817,0.0015820487120424523,0.0017902566495468688,0.39657738095238093,0.018984153009186117,0.021482591466373675,0.9981733925854752,0.0015820487120424545,0.0017902566495468712,355.3333333333333,17.009801096230763,19.248401953870815,0.6045758928571429,0.04952981150940195,0.0560482580154147,0.6563025234042739,0.03315260013258234,0.03751569871732958,0.20200892857142858,0.046124951606633546,0.05219529632383875,0.6034226190476191,0.018984153009186107,0.02148259146637366,0.9728422619047619,0.001704827267468642,0.001929193664317876
best_comparison,full-open,0.01,0.6,ensemble_detector,3,0.2380952380952381,0.20624484635902995,0.23338801442614357,0.0010256410256410256,0.0017764623667373101,0.00201025641025641,0.23846726190476195,0.20657976658617277,0.23376701234140754,0.6656410256410257,0.5764640909252134,0.6523305282246967,213.66666666666666,185.0954708612108,209.45524305790116,0.3623139880952381,0.22723774324479004,0.25714371357554827,0.48248381064948465,0.4178443041470113,0.47283534209811257,0.0,0.0,0.0,0.7615327380952381,0.20657976658617275,0.2337670123414075,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.02,0.6,opensemcom_progressive,3,0.4148065476190476,0.007839028089920194,0.008870695356684905,0.004434331474005068,0.004023934589606702,0.004553510648281316,0.4166666666666667,0.008669032885216536,0.00980993420099123,0.9955656685259949,0.004023934589606713,0.004553510648281329,373.3333333333333,7.767453465154029,8.789701044088158,0.6191964285714286,0.029083887785146267,0.03291151726599673,0.6704938860206099,0.01864996945905505,0.021104427179624914,0.1610863095238095,0.01498752758815751,0.016959984051518974,0.5833333333333334,0.008669032885216536,0.00980993420099123,0.9732142857142857,0.0011160714285713969,0.0012629537138522705
best_comparison,full-open,0.02,0.6,ensemble_detector,3,0.40848214285714285,0.014508928571428575,0.016418398280079988,0.003559420632807801,0.003977897822614344,0.004501415142242627,0.40997023809523814,0.015678056179840385,0.017741390713369807,0.9964405793671922,0.003977897822614361,0.004501415142242646,367.3333333333333,14.047538337136984,15.896286079179347,0.5509672619047619,0.017245861797824388,0.019515529784706748,0.7413269804800712,0.00378982742482281,0.004288593452451204,0.0,0.0,0.0,0.5900297619047619,0.01567805617984038,0.017741390713369803,0.9847470238095237,0.007175335387643554,0.008119656362460434
OpenSemCom,full-open,0.05,0.6,opensemcom_progressive,3,0.4215029761904762,0.002808718167883468,0.003178363812998413,0.016285041461134922,0.014771495644030214,0.016715520893371888,0.42857142857142855,0.009135438361464814,0.010337721682427612,0.9837149585388651,0.01477149564403023,0.016715520893371905,384.0,8.18535277187245,9.262598627455114,0.6112723214285715,0.006918742740995022,0.0078292944485758,0.6895997927215459,0.007928070434902455,0.008971456255500682,0.13169642857142858,0.031009919619307588,0.03509102746192155,0.5714285714285714,0.009135438361464758,0.010337721682427548,0.9724702380952381,0.0006443641397205461,0.000729166666666646
best_comparison,full-open,0.05,0.6,ensemble_detector,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.5603794642857142,0.010048982197611222,0.011371493850670288,0.7422226872832617,0.0022390890387543436,0.002533767772158147,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9847470238095237,0.007175335387643554,0.008119656362460434
