auroc,backbone,detector_control,fpr95,known_subset_accuracy,method,samples,seed,severity
1.0,SigLIP2,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,1024,1,extreme
0.9999766747527524,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,1,extreme
0.9990743001302084,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,1.0,opensemcom,640,2,mild
0.99810791015625,dino+siglip2+openclip,learned_risk_head_only,0.0026041666666666665,1.0,opensemcom_risk_head,640,2,mild
0.9990743001302084,dino+siglip2+openclip,mixed_open_calibration,0.0026041666666666665,1.0,opensemcom_calibrated,640,2,mild
0.9990743001302084,dino+siglip2+openclip,semantic_harq_refine,0.0026041666666666665,1.0,opensemcom_harq_refine,640,2,mild
0.9999796549479166,DINOv3,one_vs_rest,0.0,0.9921875,dino_one_vs_rest,640,2,mild
0.9998677571614584,SigLIP2,best_ood:one_vs_rest,0.0,0.984375,siglip2_best_ood,640,2,mild
0.9992574055989584,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0026041666666666665,1.0,openclip_best_ood,640,2,mild
0.9989420572916666,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,1.0,opensemcom,896,2,medium
0.9984156290690104,dino+siglip2+openclip,learned_risk_head_only,0.005208333333333333,1.0,opensemcom_risk_head,896,2,medium
0.9989420572916666,dino+siglip2+openclip,mixed_open_calibration,0.0026041666666666665,1.0,opensemcom_calibrated,896,2,medium
0.9989267985026041,dino+siglip2+openclip,semantic_harq_refine,0.0026041666666666665,1.0,opensemcom_harq_refine,896,2,medium
0.9997762044270834,DINOv3,one_vs_rest,0.0,0.9921875,dino_one_vs_rest,896,2,medium
0.999542236328125,SigLIP2,best_ood:one_vs_rest,0.0,0.984375,siglip2_best_ood,896,2,medium
0.9993336995442709,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0026041666666666665,1.0,openclip_best_ood,896,2,medium
0.9998677571614584,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,1024,2,hard
0.9992879231770834,dino+siglip2+openclip,learned_risk_head_only,0.00390625,1.0,opensemcom_risk_head,1024,2,hard
0.9998677571614584,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,1024,2,hard
0.9998575846354166,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,1024,2,hard
0.9999542236328125,DINOv3,one_vs_rest,0.0,0.98828125,dino_one_vs_rest,1024,2,hard
0.999725341796875,SigLIP2,best_ood:one_vs_rest,0.0,0.98828125,siglip2_best_ood,1024,2,hard
0.9999440511067709,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,2,hard
0.9997900727747714,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,1024,2,extreme
0.9990086769919762,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,1024,2,extreme
0.9997900727747714,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,1024,2,extreme
0.9997784101511477,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,1024,2,extreme
0.9999766747527524,DINOv3,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,1024,2,extreme
0.9999766747527524,SigLIP2,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,1024,2,extreme
0.9998600485165142,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,2,extreme
